课次,单元,日语词条,读音,词性,中文翻译
第2課,練習用単語,私,わたし①,名,我
第2課,練習用単語,会社員,かいしゃいん③,名,公司职员
第2課,練習用単語,会社,かいしゃ①,名,公司
第2課,練習用単語,-員,-いん,接尾,-员；成员
第2課,練習用単語,大学生,だいがくせい④③,名,大学生
第2課,練習用単語,学部生,がくぶせい③,名,本科生
第2課,練習用単語,学部,がくぶ①①,名,学院；系
第2課,練習用単語,韓国,かんこく①,固名,韩国
第2課,練習用単語,歴史学部,れきしがくぶ④,名,历史学院；历史系
第2課,練習用単語,歴史,れきし①,名,历史
第2課,練習用単語,友達,ともだち①,名,朋友
第2課,練習用単語,高校生,こうこうせい③,名,高中生
第2課,練習用単語,祖父,そふ①,名,祖父；爷爷
第2課,練習用単語,教師,きょうし①,名,教师
第2課,練習用単語,アメリカ,①,固名,美国
第2課,練習用単語,仕事,しごと①,名,工作
第2課,練習用単語,修学,しゅうがく①,名・自Ⅲ,修学；学习
第2課,練習用単語,言語文学部,げんごぶんがくぶ⑦,名,语言文学院；语言文学系
第2課,練習用単語,文学部,ぶんがくぶ④,名,文学院；文学系
第2課,練習用単語,教育学部,きょういくがくぶ⑥,名,教育学院；教育（学）系
第2課,練習用単語,法学部,ほうがくぶ④,名,法学院；法学系
第2課,練習用単語,経済学部,けいざいがくぶ⑤⑥,名,经济学院；经济学系
第2課,練習用単語,理学部,りがくぶ③,名,理学院；理科系
第2課,練習用単語,医学部,いがくぶ③,名,医学院；医学系
第2課,練習用単語,歯学部,しがくぶ③,名,口腔学院；口腔系
第2課,練習用単語,薬学部,やくがくぶ④,名,药学院；药学系
第2課,練習用単語,獣医学部,じゅういがくぶ⑤⑥,名,兽医学院；兽医（学）系
第2課,練習用単語,水産学部,すいさんがくぶ⑤⑥,名,水产学院；水产养殖学系
第2課,練習用単語,大学内機関,だいがくないきかん⑦,名,大学校内机构
第2課,練習用単語,-内,-ない,接尾,……内
第2課,練習用単語,機関,きかん①②,名,机构
第2課,練習用単語,動物病院,どうぶつびょういん⑤,名,宠物医院
第2課,練習用単語,動物,どうぶつ①,名,动物
第2課,練習用単語,病院,びょういん①,名,（综合）医院
第3課,練習用単語,銀行,ぎんこう①,名,银行
第3課,練習用単語,コンビニ,①,名,便利店
第3課,練習用単語,駅,えき①,名,（火）车站；地铁站
第3課,練習用単語,学校,がっこう①,名,学校
第3課,練習用単語,デパート,②,名,百货商场
第3課,練習用単語,古い,ふるい②,形Ⅰ,古老（的）；传统（的）；老（的）
第3課,練習用単語,本,ほん①,名,书
第3課,練習用単語,高い,たかい②,形Ⅰ,高（的）；（价格、价值）贵（的）
第3課,練習用単語,ホテル,①,名,宾馆；饭店；酒店
第3課,練習用単語,明るい,あかるい①,形Ⅰ,明亮（的）；性格开朗（的）；对……很了解
第3課,練習用単語,部屋,へや②,名,房间
