课次,单元,日语词条,读音,词性,中文翻译
第3課,練習用単語,複雑,ふくざつ①,名・形Ⅱ,复杂（的）
第3課,練習用単語,問題,もんだい①,名,问题
第3課,練習用単語,有名,ゆうめい①,名・形Ⅱ,有名（的）
第3課,練習用単語,歌手,かしゅ①,名,歌手
第3課,練習用単語,東西大学,とうざいだいがく⑤,固名,东西大学
第3課,練習用単語,喫茶店,きっさてん③①,名,咖啡店；茶馆
第3課,練習用単語,食堂,しょくどう①,名,食堂
第3課,練習用単語,郵便局,ゆうびんきょく③,名,邮局
第3課,練習用単語,芸術史,げいじゅつし③④,名,艺术史
第3課,練習用単語,おもしろい,④,形Ⅰ,有趣（的）；有意思（的）
第3課,練習用単語,難しい,むずかしい①,形Ⅰ,难（的）
第3課,練習用単語,勉強会,べんきょうかい③,名,学习会
第3課,練習用単語,-会,-かい,接尾,~会
第3課,練習用単語,夜,よる①,名,夜晚
第3課,練習用単語,土曜日,どようび②,名,星期六
第3課,練習用単語,休み,やすみ③,名,休息；请假
第3課,練習用単語,修士,しゅうし①,名,硕士
第3課,練習用単語,水曜日,すいようび③,名,星期三
第3課,練習用単語,映画,えいが①①,名,电影
第3課,練習用単語,鑑賞,かんしょう①,名・他Ⅲ,鉴赏；欣赏
第3課,練習用単語,説明会,せつめいかい③,名,说明会
第3課,練習用単語,説明,せつめい①,名・他Ⅲ,说明
第4課,練習用単語,教室,きょうしつ①,名,教室；辅导班
第4課,練習用単語,広い,ひろい②,形Ⅰ,宽广（的）；宽敞（的）
第4課,練習用単語,英語,えいご①,名,英语
第4課,練習用単語,静か,しずか①,形Ⅱ,安静（的）；宁静（的）
第4課,練習用単語,バス,①,名,公交车
第4課,練習用単語,便利,べんり①,名・形Ⅱ,便利（的）；方便（的）
第4課,練習用単語,体育館,たいいくかん④③,名,体育馆
第4課,練習用単語,体育,たいいく①,名,体育
第4課,練習用単語,鍵,かぎ②,名,钥匙；关键
第4課,練習用単語,前,まえ①,名,前面；以前
第4課,練習用単語,きれい,①,形Ⅱ,漂亮（的）；干净（的）
第4課,練習用単語,ゲーム,①,名,游戏；比赛
第4課,練習用単語,誰,だれ①,名,谁；哪位
第4課,練習用単語,おいしい,①③,形Ⅰ,好吃（的）；美味（的）
第4課,練習用単語,多い,おおい①②,形Ⅰ,多（的）
第4課,練習用単語,遠い,とおい①,形Ⅰ,远（的）；遥远（的）
第4課,練習用単語,楽しい,たのしい③,形Ⅰ,快乐（的）；愉快（的）
第4課,練習用単語,辞書,じしょ①,名,词典；辞典
第4課,練習用単語,寮,りょう①,名,宿舍；公寓
第4課,練習用単語,狭い,せまい②,形Ⅰ,狭窄（的）
第4課,練習用単語,暑い,あつい②,形Ⅰ,（天气）热（的）
第4課,練習用単語,北京,ペキン①,固名,北京
第4課,練習用単語,寒い,さむい②,形Ⅰ,（天气）寒冷（的）
第4課,練習用単語,作家,さっか①,名,作家
第4課,練習用単語,故郷,ふるさと②,名,故乡；老家
第4課,練習用単語,町,まち②,名,城市；城镇
第4課,練習用単語,うるさい,③,形Ⅰ,吵闹（的）
第4課,練習用単語,少ない,すくない③,形Ⅰ,少（的）
第4課,練習用単語,まずい,②,形Ⅰ,难吃（的）；糟糕（的）
第4課,練習用単語,安い,やすい②,形Ⅰ,（价格）便宜（的）；低廉（的）
第4課,練習用単語,暗い,くらい①,形Ⅰ,暗（的）；昏暗；看不清（的）
第4課,練習用単語,汚い,きたない③,形Ⅰ,脏（的）
第4課,練習用単語,つまらない,③,形Ⅰ,无趣（的）；无聊（的）
第4課,練習用単語,小さい,ちいさい③,形Ⅰ,小（的）
第4課,練習用単語,新しい,あたらしい④,形Ⅰ,新（的）；新鲜（的）
第4課,練習用単語,かわいい,③,形Ⅰ,可爱（的）
第4課,練習用単語,かっこいい,④,形Ⅰ,干练（的）；酷（的）；帅（的）
第4課,練習用単語,不便,ふべん①,名・形Ⅱ,不方便（的）
第4課,練習用単語,にぎやか【賑やか】,②,形Ⅱ,热闹（的）；繁华（的）
第4課,練習用単語,親切,しんせつ①,名・形Ⅱ,亲切（的）；热心（的）
第4課,練習用単語,公園,こうえん①,名,公园
第4課,練習用単語,散歩,さんぽ①,名・自Ⅲ,散步
第4課,練習用単語,考え,かんがえ③,名,想法
第4課,練習用単語,先週,せんしゅう①,名,上周
第4課,練習用単語,かばん,①,名,包；皮包
第4課,練習用単語,国語,こくご①,名,国语；语文
第4課,練習用単語,子ども【子供】,こども①,名,孩子；幼儿；儿童
第4課,練習用単語,絵,え①,名,画
第4課,練習用単語,家,いえ②,名,家；（家的）房子
第4課,練習用単語,タイトル,①,名,题目；主题
第4課,練習用単語,ラスト・エンペラー,①-①,固名,（电影名）末代皇帝
第4課,練習用単語,中国飯店,ちゅうごくはんてん⑤,固名,中国饭店
第4課,練習用単語,クラス,①,名,班级；等级
第4課,練習用単語,窓,まど①,名,窗户；窗口
第4課,練習用単語,髪,かみ②,名,头发
第4課,練習用単語,長い,ながい②,形Ⅰ,长（的）
第4課,練習用単語,コーヒー,③,名,咖啡
第4課,練習用単語,けっこう,①,名・副,可以了；不用了；相当；很
第4課,練習用単語,優しい,やさしい①,形Ⅰ,温柔（的）；脾气好（的）
第4課,練習用単語,近い,ちかい②,形Ⅰ,近（的）
第4課,練習用単語,悪い,わるい②,形Ⅰ,坏（的）；不好（的）
第4課,練習用単語,元気,げんき①,名・形Ⅱ,健康（的）；有精神（的），有干劲（的）
第4課,練習用単語,レストラン,①,名,餐厅；饭店
第5課,練習用単語,食べる,たべる②,他Ⅱ,吃
第5課,練習用単語,運動場,うんどうじょう①,名,运动场
第5課,練習用単語,バスケットボール,⑥,名,篮球
第5課,練習用単語,する,①,他Ⅲ,做；干
第5課,練習用単語,手紙,てがみ①,名,信
第5課,練習用単語,書く,かく①,他Ⅰ,写
第5課,練習用単語,パン,①,名,面包
第5課,練習用単語,店,みせ②,名,商店
第5課,練習用単語,映画館,えいがかん③,名,电影院
第5課,練習用単語,パソコン,①,名,个人电脑；笔记本电脑
第5課,練習用単語,携帯電話,けいたいでんわ⑤,名,手机
第5課,練習用単語,メッセージ,①,名,信息；留言
第5課,練習用単語,届く,とどく②,自Ⅰ,到；寄到；送到
第5課,練習用単語,eメール,イーメール③,名,电子邮件
第5課,練習用単語,来る,くる①,自Ⅲ,来
第5課,練習用単語,読む,よむ①,他Ⅰ,读；阅读
第5課,練習用単語,全然,ぜんぜん①,副,（句尾通常与否定呼应使用）一点也（不）；全然（不）
第5課,練習用単語,近く,ちかく②①,名,附近；周边；不久；即将
第5課,練習用単語,起きる,おきる②,自Ⅱ,起床；发生
第5課,練習用単語,帰る,かえる①,自Ⅰ,回；归
第5課,練習用単語,うち,①,名,家；内；内部
第5課,練習用単語,意味,いみ①,名・他Ⅲ,意思；意义；语义；意味
第5課,練習用単語,読み方,よみかた①,名,读法；念法
第5課,練習用単語,お茶,おちゃ①,名,茶；茶水；茶叶
第5課,練習用単語,飲む,のむ①,他Ⅰ,喝；饮；服食
第5課,練習用単語,食生活,しょくせいかつ③,名,饮食生活
第5課,練習用単語,外食,がいしょく①,名・自Ⅲ,在外就餐
第6課,練習用単語,おととい【一昨日】,①,名,前天
第6課,練習用単語,あさって【明後日】,①,名,后天
第6課,練習用単語,国,くに①,名,国家；故乡
第6課,練習用単語,先月,せんげつ①,名,上个月
第6課,練習用単語,ヒーロー,①,名,英雄
第6課,練習用単語,値段,ねだん①,名,价格；价钱
第6課,練習用単語,空,そら①,名,天空
第6課,練習用単語,旅行,りょこう①,名・自Ⅲ,旅行；旅游
第6課,練習用単語,飛ぶ,とぶ①,自Ⅰ,飞；飞翔；飞行
第6課,練習用単語,歩く,あるく②,自Ⅰ,走；步行；走路；行走
第6課,練習用単語,週末,しゅうまつ①,名,周末
第6課,練習用単語,待つ,まつ①,他Ⅰ,等；等待
第6課,練習用単語,遊ぶ,あそぶ①,自Ⅰ,游戏；游玩；玩儿
第6課,練習用単語,入る,はいる①,自Ⅰ,进入；装入
第6課,練習用単語,集める,あつめる③,他Ⅱ,收集
第6課,練習用単語,借りる,かりる①,他Ⅱ,（向别人）借
第6課,練習用単語,若者,わかもの①,名,年轻人
第6課,練習用単語,親友,しんゆう①,名,好朋友；挚友
第6課,練習用単語,結婚,けっこん①,名・自Ⅲ,结婚
第6課,練習用単語,来週,らいしゅう①,名,下周
第6課,練習用単語,りんご【林檎】,①,名,苹果
第6課,練習用単語,切る,きる①,他Ⅰ,切断；切；剪
第6課,練習用単語,使い方,つかいかた①,名,使用方法；用法
第6課,練習用単語,丁寧,ていねい①,形Ⅱ,礼貌；小心；仔细
第7課,練習用単語,-冊,-さつ,接尾,册
第7課,練習用単語,-回,-かい,接尾,回；次
第7課,練習用単語,机,つくえ①,名,桌子；课桌；书桌；办公桌
第7課,練習用単語,上,うえ②,名,上面
第7課,練習用単語,横,よこ①,名,旁边
第7課,練習用単語,めがね【眼鏡】,①,名,眼镜
第7課,練習用単語,箱,はこ②,名,盒子；箱子
第7課,練習用単語,中,なか①,名,里面；中间；内部
第7課,練習用単語,ベッド,①,名,床
第7課,練習用単語,研究室,けんきゅうしつ③,名,研究室
第7課,練習用単語,庭,にわ①,名,庭院；院子
第7課,練習用単語,男の子,おとこのこ③,名,男孩
第7課,練習用単語,女の子,おんなのこ③,名,女孩
第7課,練習用単語,まだ,①,副,尚；还
第7課,練習用単語,シャワー,①,名,淋浴
第7課,練習用単語,羨ましい,うらやましい⑤,形Ⅰ,令人羡慕（的）
第7課,練習用単語,生まれる,うまれる①,自Ⅱ,出生；诞生
第7課,練習用単語,魚,さかな①,名,鱼
第7課,練習用単語,北京駅,ペキンえき②,固名,北京站
第7課,練習用単語,海,うみ①,名,大海；海洋
第7課,練習用単語,山,やま②,名,山
第7課,練習用単語,橋,はし②,名,桥
第7課,練習用単語,中国博物館,ちゅうごくはくぶつかん①-④,固名,中国博物馆
第7課,練習用単語,博物館,はくぶつかん④,名,博物馆
第7課,練習用単語,夏,なつ②,名,夏天；夏季
第7課,練習用単語,昼,ひる②,名,午饭；中午
第7課,練習用単語,昼,ひる②,名,白天；中午
第7課,練習用単語,今週,こんしゅう①,名,本周；这周
第7課,練習用単語,暖かい,あたたかい④,形Ⅰ,温暖（的）
第7課,練習用単語,ジュース,①,名,果汁
第7課,練習用単語,連休,れんきゅう①,名,连休；长假
第7課,練習用単語,講演,こうえん①,名・自Ⅲ,讲演；讲话
第7課,練習用単語,興味,きょうみ①,名,兴趣
第7課,練習用単語,学食,がくしょく①,名,学生食堂
第7課,練習用単語,年末,ねんまつ①,名,年末；年底
第7課,練習用単語,レポート,②,名・自Ⅲ,报告；小论文；课程论文
第7課,練習用単語,アニメ,①,名,动漫；动画片
第7課,練習用単語,人気,にんき①,名・形Ⅱ,人气；受欢迎
第7課,練習用単語,いちばん,①,名・副,最
第7課,練習用単語,兄,あに①,名,哥哥
第7課,練習用単語,兄弟,きょうだい①,名,兄弟（姐妹）
第7課,練習用単語,頭,あたま③②,名,头；头脑
第7課,練習用単語,猫,ねこ①,名,猫
第7課,練習用単語,昼食,ちゅうしょく①,名,午饭
第7課,練習用単語,ラーメン,①,名,（日式）拉面
第7課,練習用単語,色,いろ②,名,颜色；色彩
第7課,練習用単語,赤,あか①,名,红色
第7課,練習用単語,プレゼント,③,名・他Ⅲ,礼物；送礼物
第7課,練習用単語,マフラー,①,名,围巾
第7課,練習用単語,-後,-ご,接尾,（时间）后；之后
第7課,練習用単語,人口,じんこう①,名,人口
第7課,練習用単語,もっと,①,副,更加
第7課,練習用単語,-億,-おく,接尾,亿
第7課,練習用単語,楽,らく②,名・形Ⅱ,轻松（的）
第7課,練習用単語,生命,せいめい①,名,生命
第8課,練習用単語,ギター,①,名,吉他
第8課,練習用単語,弾く,ひく①,他Ⅰ,弹（吉他、琴等乐器）
第8課,練習用単語,お皿,おさら①,名,盘子
第8課,練習用単語,洗う,あらう①,他Ⅰ,洗；刷
第8課,練習用単語,黒板,こくばん①,名,黑板
第8課,練習用単語,消す,けす①,他Ⅰ,擦除；抹去；去掉；关掉（电器）
第8課,練習用単語,並べる,ならべる①,他Ⅱ,排列；摆放
第8課,練習用単語,運ぶ,はこぶ①,他Ⅰ,搬运；运送
第8課,練習用単語,サボる,②,自Ⅰ,逃学；逃课；偷懒而不参加（活动）
第8課,練習用単語,八百屋,やおや①,名,蔬菜水果店
第8課,練習用単語,スープ,①,名,汤
第8課,練習用単語,さしみ【刺身】,①,名,刺身；生鱼片
第8課,練習用単語,パンダ,①,名,熊猫
第8課,練習用単語,QRコード,キューアールコード⑥,名,二维码
第8課,練習用単語,愛する,あいする③,他Ⅲ,爱
第8課,練習用単語,始める,はじめる①,他Ⅱ,开始
第8課,練習用単語,歌,うた②,名,歌曲；歌谣
第8課,練習用単語,歌う,うたう①,他Ⅰ,唱；唱歌；歌唱
第8課,練習用単語,電気がつく,でんきがつく①-①,开着灯；灯亮着
第8課,練習用単語,電気,でんき①,名,电灯
第8課,練習用単語,つく,①,自Ⅰ,（电器）开着；电源接通；带有；附有
第8課,練習用単語,冷蔵庫,れいぞうこ③,名,电冰箱
第8課,練習用単語,ドア,①,名,门
第8課,練習用単語,閉まる,しまる②,自Ⅰ,关；关闭
第8課,練習用単語,開く,あく①,自Ⅰ,开；开放
第8課,練習用単語,沸く,わく①,自Ⅰ,（水）开；沸腾
第8課,練習用単語,花瓶,かびん①,名,花瓶
第8課,練習用単語,立つ,たつ①,自Ⅰ,站；站立
第8課,練習用単語,時計,とけい①,名,表；钟
第8課,練習用単語,掛かる,かかる②,自Ⅰ,挂；悬挂；架设；关联
第8課,練習用単語,フォーク,①,名,（餐具）叉子
第8課,練習用単語,スプーン,②,名,（餐具）勺子；汤勺
第8課,練習用単語,落ちる,おちる②,自Ⅱ,掉落；落下
第8課,練習用単語,割れる,われる②,自Ⅱ,破碎；打碎
第8課,練習用単語,決める,きめる①,他Ⅱ,决定
第8課,練習用単語,計画,けいかく①,名・他Ⅲ,计划
第8課,練習用単語,今朝,けさ①,名,今天早晨
第8課,練習用単語,蓋,ふた①,名,盖子
第8課,練習用単語,お湯,おゆ①,名,热水
第8課,練習用単語,お風呂,おふろ②,名,洗澡；澡堂
第8課,練習用単語,飲み物,のみもの③②,名,饮料；饮品
第8課,練習用単語,取る,とる①,他Ⅰ,拿；取；领
第8課,練習用単語,お金,おかね①,名,钱
第8課,練習用単語,コピー機,コピーき②,名,复印机
第8課,練習用単語,コピー,①,名・他Ⅲ,复印；复制品
第8課,練習用単語,置く,おく①,他Ⅰ,放；放置
第8課,練習用単語,枚数,まいすう③,名,（纸、衣服、CD等的）张数；件数
第8課,練習用単語,スキャン,②,名・他Ⅲ,扫描
第8課,練習用単語,金額,きんがく①,名,金额
第8課,練習用単語,考える,かんがえる④③,他Ⅱ,想；思考；思索
第8課,練習用単語,一人部屋,ひとりべや①,名,单人房间
第8課,練習用単語,法律,ほうりつ①,名,法律
第8課,練習用単語,働く,はたらく①,自Ⅰ,干活；工作；劳动
第8課,練習用単語,売る,うる①,他Ⅰ,卖；出售
第8課,練習用単語,勤める,つとめる③,自Ⅱ,就职于～
第8課,練習用単語,マントウ,③①,名,馒头
第8課,練習用単語,通う,かよう①,自Ⅰ,固定往返于～（上班、上学、去医院等）
第8課,練習用単語,オリンピック,④,名,奥林匹克；奥运会
第8課,練習用単語,LL教室,エルエルきょうしつ⑤,名,听力教室；多媒体教室
第8課,練習用単語,持つ,もつ①,他Ⅰ,拿；带；有
第8課,練習用単語,の,,準助,（接名词或活用词的词典形后，构成名词词组）～的
第8課,練習用単語,休む,やすむ②,自他Ⅰ,休息；请假
第8課,練習用単語,駅前,えきまえ①③,名,站前；车站前
第8課,練習用単語,外国語学部,がいこくごがくぶ⑥,名,外（国）语学院；外语系
第8課,練習用単語,外国語,がいこくご①,名,外国语；外语
第8課,練習用単語,外国,がいこく①,名,外国
第8課,練習用単語,東京,とうきょう①,固名,（日本首都）东京
第8課,練習用単語,丈夫,じょうぶ①,形Ⅱ,结实（的）；健壮（的）
第8課,練習用単語,切手,きって①,名,邮票
第8課,練習用単語,傘,かさ①,名,伞；雨伞
第8課,練習用単語,覚える,おぼえる③,他Ⅱ,记；记忆；背过
第8課,練習用単語,電車,でんしゃ①,名,电车；城铁；列车
第8課,練習用単語,もうすぐ,③,副,立刻；马上；眼看
第8課,練習用単語,軽い,かるい①,形Ⅰ,轻（的）；轻松（的）
第8課,練習用単語,コップ,①,名,杯子
第8課,練習用単語,米,こめ②,名,大米
第8課,練習用単語,木,き①,名,树
第8課,練習用単語,紙飛行機,かみひこうき④,名,纸飞机
第8課,練習用単語,石,いし②,名,石头；石块
第8課,練習用単語,ぶどう【葡萄】,①,名,葡萄
第8課,練習用単語,ワイン,①,名,葡萄酒
第8課,練習用単語,石油,せきゆ①,名,石油
第9課,練習用単語,自転車,じてんしゃ②①,名,自行车
第9課,練習用単語,フランス,①,固名,法国
第9課,練習用単語,イタリア,①,固名,意大利
第9課,練習用単語,ドル,①,固名,美元
第9課,練習用単語,肉,にく②,名,肉
第9課,練習用単語,スポーツ,②,名,体育；运动
第9課,練習用単語,合わせる,あわせる③,他Ⅱ,合并；加起来；协调
第9課,練習用単語,開ける,あける①,他Ⅱ,开；打开
第9課,練習用単語,泳ぐ,およぐ②,自Ⅰ,游泳；游
第9課,練習用単語,消しゴム,けしごむ①,名,橡皮
第9課,練習用単語,ゆっくり,③,副,慢慢地；从容地
第9課,練習用単語,文字,もじ①,名,字；文字；字符
第9課,練習用単語,ノート,①,名・他Ⅲ,笔记本；笔记；记笔记
第9課,練習用単語,ウーロン茶,ウーロンちゃ③,名,乌龙茶
第9課,練習用単語,鉛筆,えんぴつ①,名,铅笔
第9課,練習用単語,ハンバーグ,①,名,汉堡牛排；汉堡肉饼
第9課,練習用単語,製品,せいひん①,名,制品；产品
第9課,練習用単語,毎月,まいつき①,名,每月
第9課,練習用単語,貯める,ためる①,他Ⅱ,存（钱）；攒（钱）
第9課,練習用単語,質問,しつもん①,名・自Ⅲ,问题；提问；询问
第10課,練習用単語,女子,じょし①,名,女子；女性
第10課,練習用単語,外,そと①,名,外面
第10課,練習用単語,遅れる,おくれる⓪,自Ⅱ,迟到；晚到；晚点；落后
第10課,練習用単語,テスト,①,名・他Ⅲ,测试；测验
第10課,練習用単語,カンニング,⓪,名・自Ⅲ,作弊
第10課,練習用単語,門限,もんげん③,名,门限（最晚回家、回宿舍的时间）
第10課,練習用単語,メモ,①,名・他Ⅲ,笔记；记笔记
第10課,練習用単語,相談,そうだん①,名・自Ⅲ,商量
第10課,練習用単語,道,みち①,名,道路
第10課,練習用単語,渡る,わたる①,自Ⅰ,过（马路、河、桥等）
第10課,練習用単語,横断歩道,おうだんほどう⑤,名,人行横道
第10課,練習用単語,横断,おうだん①,名・自Ⅲ,横断；横穿；横过
第10課,練習用単語,歩道,ほどう①,名,步道；人行道
第10課,練習用単語,風邪を引く,かぜをひく①-①,得感冒
第10課,練習用単語,風邪,かぜ①,名,感冒；伤风
第10課,練習用単語,落とし物,おとしもの①,名,失物；遗忘、丢失的物品
第10課,練習用単語,交番,こうばん①,名,警亭；派出所
第10課,練習用単語,学生証,がくせいしょう①,名,学生证
第10課,練習用単語,残業,ざんぎょう①,名・自Ⅲ,加班
第10課,練習用単語,辛い,からい②,形Ⅰ,辣（的）
第10課,練習用単語,甘い,あまい①,形Ⅰ,甜（的）；（想法）天真
第10課,練習用単語,出席,しゅっせき①,名・自Ⅲ,出席；参加
第10課,練習用単語,やせる,①,自Ⅱ,瘦；消瘦
第10課,練習用単語,けんか【喧嘩】,①,名・自Ⅲ,吵架；打架
第10課,練習用単語,連れる,つれる①,他Ⅱ,带领；带着（某人）
第11課,練習用単語,コンサート,①,名,音乐会
第11課,練習用単語,受ける,うける②,他Ⅱ,接受；接收
第11課,練習用単語,嫌い,きらい①,名・形Ⅱ,讨厌（的）；厌烦（的）
第11課,練習用単語,犬,いぬ②,名,狗
第11課,練習用単語,チョコレート,③,名,巧克力
第11課,練習用単語,懐かしい,なつかしい④,形Ⅰ,令人怀念（的）
第11課,練習用単語,怖い,こわい②,形Ⅰ,害怕（的）；可怕（的）
第11課,練習用単語,寂しい,さびしい③,形Ⅰ,寂寞（的）；孤单（的）
第11課,練習用単語,恥ずかしい,はずかしい④,形Ⅰ,害羞（的）；羞耻（的）
第11課,練習用単語,心,こころ③②,名,心；心灵；心脏
第11課,練習用単語,病気,びょうき①,名,病；疾病
第11課,練習用単語,-台,だい,接尾,~台；~辆
第11課,練習用単語,グループ,②,名,群体；集体；小组
第11課,練習用単語,規準,きじゅん①,名,基准；标准
第11課,練習用単語,整理,せいり①,名・他Ⅲ,整理
第11課,練習用単語,分類,ぶんるい①,名・他Ⅲ,分类
第11課,練習用単語,表記,ひょうき①,名・他Ⅲ,标记；表记；写作
第11課,練習用単語,用法,ようほう①,名,用法
第11課,練習用単語,路上,ろじょう①,名,路面
第11課,練習用単語,乗車場,じょうしゃじょう①,名,乘车处
第11課,練習用単語,乗車,じょうしゃ①,名・自Ⅲ,乘车
第11課,練習用単語,乗せる,のせる①,他Ⅱ,搭乘；载客
第11課,練習用単語,自動車,じどうしゃ②①,名,机动车；汽车
第11課,練習用単語,雲,くも①,名,云；云彩；云朵
第11課,練習用単語,浮かぶ,うかぶ①,自Ⅰ,浮；飘
第11課,練習用単語,一面,いちめん①,名,一面；整片
第11課,練習用単語,青い,あおい②,形Ⅰ,蓝色
第11課,練習用単語,瞬間,しゅんかん①,名,瞬间；刹那
第11課,練習用単語,気持ち,きもち①,名,心情
第11課,練習用単語,顔,かお①,名,脸
第11課,練習用単語,働き,はたらき①,名,功能；功效；作用
第11課,練習用単語,受け持つ,うけもつ③,他Ⅰ,接受；负责；承担
第11課,練習用単語,部分,ぶぶん①①,名,部分
第11課,練習用単語,額,ひたい①,名,额头
第11課,練習用単語,鼻,はな①,名,鼻子
第11課,練習用単語,左右,さゆう①,名・他Ⅲ,左右；掌控
第11課,練習用単語,脂肪,しぼう①,名,脂肪
第11課,練習用単語,固める,かためる③,他Ⅱ,巩固；加强；使凝固
第11課,練習用単語,食品,しょくひん①,名,食品
第11課,練習用単語,バター,①,名,黄油
第11課,練習用単語,生む,うむ①,他Ⅰ,生；产生
第11課,練習用単語,育てる,そだてる③,他Ⅱ,养育；培养
第11課,練習用単語,革,かわ②,名,皮革
第11課,練習用単語,ゴム,①,名,橡胶
第11課,練習用単語,布,ぬの①,名,布
第11課,練習用単語,足,あし②,名,脚；腿
第11課,練習用単語,覆う,おおう①,他Ⅰ,覆盖
第11課,練習用単語,履物,はきもの①,名,鞋子
第11課,練習用単語,学問,がくもん②,名・自Ⅲ,学问；做学问
第11課,練習用単語,技術,ぎじゅつ①,名,技术
第11課,練習用単語,芸術,げいじゅつ①,名,艺术
第11課,練習用単語,踊り,おどり①,名,舞蹈
第11課,練習用単語,健康,けんこう①,名・形Ⅱ,健康
第11課,練習用単語,平日,へいじつ①,名,工作日；平日
第11課,練習用単語,オープン,①,名・自他Ⅲ,开放
第11課,練習用単語,白黒,しろくろ①①,名,黑白
第11課,練習用単語,カラー,①,名,彩色；颜色
第11課,練習用単語,社会人,しゃかいじん②,名,社会人；社会一分子
第11課,練習用単語,総合日語,そうごうにちご⑤,固名,（教材名）《综合日语》
第11課,練習用単語,卓球,たっきゅう①,名,乒乓球
第11課,練習用単語,カレー,②,名,咖喱
第11課,練習用単語,野菜,やさい①,名,蔬菜
第11課,練習用単語,白菜,はくさい③,名,白菜
第11課,練習用単語,すいか,①,名,西瓜
第11課,練習用単語,水泳,すいえい①,名,游泳
第11課,練習用単語,ロック,①,名,摇滚乐
第11課,練習用単語,クラシック,③,名,古典（音乐）
第11課,練習用単語,バドミントン,③,名,羽毛球
第11課,練習用単語,眠る,ねむる②,自Ⅰ,睡觉
第11課,練習用単語,やめる,①,他Ⅱ,停止（动作、习惯等）；放弃；作罢
第11課,練習用単語,思い出す,おもいだす④,他Ⅰ,想起；回忆起
第11課,練習用単語,雲南,うんなん①,固名,（地名）云南省
第11課,練習用単語,ランキング,①①,名,排名；排行榜
第11課,練習用単語,名所,めいしょ①,名,名胜
第11課,練習用単語,旧跡,きゅうせき①,名,古迹
第11課,練習用単語,普及,ふきゅう①,名・自Ⅲ,普及
第11課,練習用単語,広州,こうしゅう①,固名,广州
第11課,練習用単語,南方,なんぼう①,名,南方
第11課,練習用単語,重要,じゅうよう①,名・形Ⅱ,重要（的）
第11課,練習用単語,睡眠,すいみん①,名,睡眠
第11課,練習用単語,雰囲気,ふんいき③,名,氛围
第11課,練習用単語,観光地,かんこうち③,名,观光地；游览地；旅游景点
第11課,練習用単語,チケット,②①,名,（机、车）票；门票；入场券
第11課,練習用単語,趣味,しゅみ①,名,爱好
第11課,練習用単語,入院,にゅういん①,名・自Ⅲ,入院；住院
第11課,練習用単語,事業,じぎょう①,名,事业
