课次,单元,日语词条,读音,词性,中文翻译
第2課,ユニット1,ええ,①,感,（表示对对方提问的肯定答复）是；是的
第2課,ユニット1,そう,①,副,那样；那么
第2課,ユニット1,じゃあ,①,接,（表示转换话题）那么
第2課,ユニット1,また,②,副,再见；再；又
第2課,ユニット1,-さん,,接尾,（接在人名等后面，略表尊敬及亲密之意）小（王）；老（王）
第2課,ユニット1,おはよう,①,早上好
第2課,ユニット1,こちら,①,名,（指代说话人近旁的人或方位）这位；这边；这个
第2課,ユニット1,昨日,きのう②,名,昨天
第2課,ユニット1,どうも,①,副,（加强感谢、道歉的语气）太；实在是
第2課,ユニット1,すみませんでした,④,（「すみません」的过去时）对不起
第2課,ユニット1,あれ,①,感,（表示吃惊或诧异）哎
第2課,ユニット1,知り合い,しりあい①,名,相识；熟人
第2課,ユニット1,ちょっと,①,副,稍微，些许，一点儿，一下
第2課,ユニット1,高校,こうこう①,名,高中
第2課,ユニット1,後輩,こうはい①,名,晚辈；学弟；学妹
第2課,ユニット1,今,いま①,名,现在
第2課,ユニット1,京華大学,きょうかだいがく④,固名,京华大学
第2課,ユニット1,大学,だいがく①,名,大学
第2課,ユニット1,語学留学生,ごがくりゅうがくせい⑥,名,语言留学生
第2課,ユニット1,語学,ごがく①①①,名,语言；外语
第2課,ユニット1,留学生,りゅうがくせい③,名,留学生
第2課,ユニット1,留学,りゅうがく①,名・自Ⅲ,留学
第2課,ユニット1,どうぞ,①,副,（表示对他人提出请求）请；恳请
第2課,ユニット1,よろしく,①,副,（寒暄用语）表示"请多关照"等意思
第2課,ユニット1,彼女,かのじょ①,名,她；女朋友
第2課,ユニット1,まあ,①,副,（表示虽不十分满意，但还差强人意）就（还）算是吧
第2課,ユニット1,解説,かいせつ①,名・他Ⅲ,解说；说明；解释；讲解
第2課,ユニット1,語彙,ごい①,名,词汇
第2課,ユニット1,音声,おんせい①,名,语音；发音
第2課,ユニット1,文法,ぶんぽう①,名,语法
第2課,ユニット1,表現,ひょうげん③,名・他Ⅲ,表达（方式）
第2課,ユニット1,か,,終助,（表示疑问）吗
第2課,ユニット1,は,,取立て助,（「は」发wa的音）用于提出（凸显）话题
第2課,ユニット1,ね,,終助,表示征求对方认同、确认的语气
第2課,ユニット2,家族,かぞく①,名,家；家人；家庭成员
第2課,ユニット2,写真,しゃしん①,名,照片；相片
第2課,ユニット2,ご-【御-】,,接頭,主要接在汉字音读名词前，表示对方的行为或与对方相关的事项，以示对对方的尊敬
第2課,ユニット2,何人,なんにん①,名,几个人
第2課,ユニット2,-人,-にん,接尾,（接在数量名词或动作性名词后面）（几人）；做……的）人
第2課,ユニット2,3人,さんにん③,名,3人
第2課,ユニット2,両親,りょうしん①,名,父母；双亲
第2課,ユニット2,一人っ子,ひとりっこ③,名,独生子女
第2課,ユニット2,一人,ひとり②,名,一个人
第2課,ユニット2,父,ちち①②,名,（我）父亲；（我）爸爸
第2課,ユニット2,サラリーマン,③,名,男性公司职员
第2課,ユニット2,母,はは①,名,（我）母亲；（我）妈妈
第2課,ユニット2,医者,いしゃ①,名,医生；大夫
第2課,ユニット2,祖母,そぼ①,名,祖母；外祖母；奶奶；姥姥
第2課,ユニット2,姉,あね①,名,（我）姐姐
第2課,ユニット2,弟,おとうと④,名,（我）弟弟
第2課,ユニット2,小学校,しょうがっこう③,名,小学
第2課,ユニット2,教員,きょういん①,名,教员；教师；老师
第2課,ユニット2,おばあさん【お祖母さん】,②,名,（「祖母」的敬称）祖母；外祖母；奶奶；姥姥
第2課,ユニット2,お母さん,おかあさん②,名,（「母親」的敬称。可用于直接称呼）母亲；妈；您母亲
第2課,ユニット2,おいくつ,①,名,（用于询问对方的年龄）几岁；多大年纪
第2課,ユニット2,お-,,接頭,敬语用法，表示对对方或第三者的尊敬；美化语用法，起修饰、使表达文雅的作用
第2課,ユニット2,いくつ,①,名,几岁；几个
第2課,ユニット2,17歳,じゅうななさい④,名,17岁
第2課,ユニット2,-歳,-さい,接尾,-岁
第2課,ユニット2,看護師,かんごし③,名,护士
第2課,ユニット2,この,①,連体,（指代说话人方面的人或事物等）这～
第2課,ユニット2,どなた,①,名,哪位；谁
第2課,ユニット2,その,①,連体,（指代对方附近或对方方面的人或事物等）那～
第2課,ユニット2,人,ひと①,名,人
第2課,ユニット2,婚約者,こんやくしゃ④③,名,订婚对象；未婚夫；未婚妻
第2課,ユニット2,婚約,こんやく①,名・自Ⅲ,婚约；订婚
第2課,ユニット2,-者,-しゃ,接尾,做/是……的人
第2課,ユニット2,恋人,こいびと①,名,恋人；对象；男朋友；女朋友
第2課,ユニット2,名前,なまえ①,名,名字；姓名
第2課,ユニット2,タマ,①,固名,（猫的名字）球球；圆子；团子
第2課,ユニット2,ええ,②,感,（表示疑问，带有吃惊的语气）哎
第2課,ユニット2,あの,①,連体,（指代远离说话人、听话人双方的事物）那～
第2課,ユニット2,どの,①,連体,哪个；哪～
第2課,ユニット2,と,,格助,（表示并列）和；与
第2課,ユニット3,読解文,どっかいぶん③,名,阅读理解的文章；课文
第2課,ユニット3,読解,どっかい①,名・他Ⅲ,阅读；阅读理解
第2課,ユニット3,文,ぶん①,名,文章；句子
第2課,ユニット3,皆さん,みなさん②,名,大家；各位
第2課,ユニット3,こんにちは,①,你好！
第2課,ユニット3,～よこそ,,,（用于欢迎对方的来访等）
第2課,ユニット3,学長,がくちょう①,名,大学校长
第2課,ユニット3,張光輝,ちょうこうき①-①,固名,（人名）张光辉
第2課,ユニット3,年,ねん,（用于计算年限或学年等）年
第2課,ユニット3,創立,そうりつ①,名・他Ⅲ,创立；创建；设立
第2課,ユニット3,総合大学,そうごうだいがく⑤,名,综合大学
第2課,ユニット3,総合,そうごう①,名・他Ⅲ,综合
第2課,ユニット3,現在,げんざい①,名,现在
第2課,ユニット3,学生数,がくせいすう③,名,学生人数
第2課,ユニット3,-数,-すう,接尾,数；数量
第2課,ユニット3,約,やく①,副,大约；大概（表示人数）
第2課,ユニット3,-名,-めい,接尾,（「-人」的郑重说法）一位；一名；一人
第2課,ユニット3,文系学部,ぶんけいがくぶ⑤,名,文科院系
第2課,ユニット3,理系学部,りけいがくぶ④,名,理科院系
第2課,ユニット3,その他,そのた②,名,其他；另外
第2課,ユニット3,大学院,だいがくいん④,名,研究生院
第2課,ユニット3,研究所,けんきゅうじょ/けんきゅうしょ①⑤,名,研究所
第2課,ユニット3,研究,けんきゅう①,名・他Ⅲ,研究
第2課,ユニット3,センター,①,名,中心
第2課,ユニット3,コース,①,名,学科；方向；路线
第2課,ユニット3,国際教育センター,こくさいきょういくセンター①-①,名,国际教育中心
第2課,ユニット3,国際,こくさい①,名,国际
第2課,ユニット3,教育,きょういく①,名・他Ⅲ,教育
第2課,ユニット3,一部,いちぶ②,名,一部分
第2課,ユニット3,主要科目,しゅようかもく④,名,主要科目
第2課,ユニット3,主要,しゅよう①,名・形Ⅱ,主要
第2課,ユニット3,科目,かもく①,名,科目
第2課,ユニット3,中国語,ちゅうごくご①,名,汉语；中文
第2課,ユニット3,発音,はつおん①,名・他Ⅲ,发音
第2課,ユニット3,聴解,ちょうかい①,名,听力
第2課,ユニット3,作文,さくぶん①,名・自Ⅲ,作文；写作
第2課,ユニット3,言葉,ことば③,名,语言；词汇；词；口语
第2課,ユニット3,勉強,べんきょう①,名・他Ⅲ,学习
第2課,ユニット3,日々,ひび①,名,每天；天天；平时
第2課,ユニット3,努力,どりょく①,名・自Ⅲ,努力
第2課,ユニット3,積み重ね,つみかさね①,名,积累
第2課,ユニット3,では,①,接,那么
第2課,ユニット3,の,,格助,表示同位关系
第3課,ユニット1,キャンパス・スケジュール,⑦,名,校园日程表
第3課,ユニット1,キャンパス,①,名,校园
第3課,ユニット1,スケジュール,③②,名,日程；日程表
第3課,ユニット1,売店,ばいてん①,名,小卖部；商店；小铺儿
第3課,ユニット1,どこ,①,名,哪里；哪儿
第3課,ユニット1,建物,たてもの②③,名,建筑；建筑物
第3課,ユニット1,え,①,感,表示吃惊或疑问；表示反问
第3課,ユニット1,白い,しろい②,形Ⅰ,白色（的）
第3課,ユニット1,あれ,①,名,（指代远离说话人、听话人双方的事物）那个
第3課,ユニット1,向こう,むこう②①,名,对面；那边
第3課,ユニット1,何,なん①,名,什么
第3課,ユニット1,どれ,①,名,哪个
第3課,ユニット1,大きい,おおきい③,形Ⅰ,大（的）
第3課,ユニット1,図書館,としょかん②,名,图书馆
第3課,ユニット1,立派,りっぱ①,形Ⅱ,好（的）；出色（的）；漂亮（的）；棒
第3課,ユニット1,ここ,①,名,这里
第3課,ユニット1,閲覧室,えつらんしつ③,名,阅览室
第3課,ユニット1,-室,-しつ,接尾,-室；房间
第3課,ユニット1,雑誌,ざっし①,名,杂志
第3課,ユニット1,検索用,けんさくよう①,名,检索用
第3課,ユニット1,-用,-よう,接尾,做……用
第3課,ユニット1,検索,けんさく①,名・他Ⅲ,检索
第3課,ユニット1,コンピューター,③,名,电脑；计算机
第3課,ユニット1,あそこ,①,名,（指代远离说话人、听话人双方的地点）那里
第3課,ユニット1,それから,①,接,（表示添加）另外；还有；之后；然后
第3課,ユニット1,貸し出しカウンター,かしだしカウンター⑥,名,借书处
第3課,ユニット1,貸し出し,かしだし①,名,借；借出
第3課,ユニット1,カウンター,①,名,柜台；接待处
第3課,ユニット1,そこ,①,名,（指代对方附近或属于对方范围内的地点）那里；那儿
第3課,ユニット1,あのう,①,感,（表示说话人跟对方讲话时的客气、不好意思或犹豫的心情）那个
第3課,ユニット1,お手洗い,おてあらい③,名,洗手间；厕所
第3課,ユニット1,手洗い,てあらい②,名,洗手；洗手间（厕所的委婉说法）
第3課,ユニット1,トイレ,①,名,厕所；洗手间
第3課,ユニット1,じゃ,①,接,（「では」的口语体用法）那么
第3課,ユニット1,も,,取立て助,（表示同类事物的添加或并列）也
第3課,ユニット2,授業,じゅぎょう①,名・自Ⅲ,授课；课
第3課,ユニット2,一コマ,ひとこま②,名,一节课
第3課,ユニット2,一-,ひと-,接頭,1～；1次～
第3課,ユニット2,コマ,こま①,名,一节课；一幕；一个画面
第3課,ユニット2,-分,-ふん,接尾,（时间单位）分钟
第3課,ユニット2,時間,じかん①,名,（时间单位）小时；时间
第3課,ユニット2,半,はん①,名,半；半个小时；30分钟
第3課,ユニット2,1時間目,いちじかんめ⑥,名,第一节课
第3課,ユニット2,-目,-め,接尾,（表示顺序、次数）第～
第3課,ユニット2,何時,なんじ①,名,几点
第3課,ユニット2,-時,-じ,接尾,（表示时间、时刻）～点；～时
第3課,ユニット2,朝,あさ①,名,早晨；早上
第3課,ユニット2,午後,ごご①,名,下午
第3課,ユニット2,だいたい【大体】,①,副・名,基本上；大约
第3課,ユニット2,今日,きょう①,名,今天
第3課,ユニット2,夕方,ゆうがた①,名,傍晚；黄昏
第3課,ユニット2,でも,①,接,不过；可是
第3課,ユニット2,木曜日,もくようび③,名,星期四
第3課,ユニット2,曜日,ようび①,名,星期一；一星期中的某一天
第3課,ユニット2,それ,①,名,（指代对方近旁或属于对方范围内的事物）那；那个
第3課,ユニット2,時間割表,じかんわりひょう⑤,名,课程表；时间表
第3課,ユニット2,時間割,じかんわり①,名,课程表；时间表
第3課,ユニット2,表,ひょう①,名,表；表格
第3課,ユニット2,ほら,①,感,（用于引起对方注意）嗨；嘿；喂
第3課,ユニット2,選択科目,せんたくかもく⑤,名,选修课
第3課,ユニット2,選択,せんたく①,名・他Ⅲ,选择
第3課,ユニット2,中国史,ちゅうごくし④,名,中国（历）史
第3課,ユニット2,-史,-し,接尾,-史
第3課,ユニット2,自習,じしゅう①,名・他Ⅲ,自习
第3課,ユニット2,火曜日,かようび②,名,星期二
第3課,ユニット2,大変,たいへん①,名・形Ⅱ・副,不得了；糟了；坏了；非常；很
第3課,ユニット2,あとで【後で】,①,待会儿（见）；等会儿（见）；再见
第3課,ユニット2,これ,①,名,（指代说话人近旁或属于说话人范围内的事物）这个
第3課,ユニット2,教科書,きょうかしょ③,名,教科书；教材
第3課,ユニット2,どんな,①,連体,什么样的；怎样的
第3課,ユニット2,とても,①,副,非常；很
第3課,ユニット2,厳しい,きびしい③,形Ⅰ,严厉（的）；严格（的）
第3課,ユニット2,から,,格助,（表示起点）从；自
第3課,ユニット2,が,,接助,（放在句尾，使语气显得柔和）不过；可是
第3課,ユニット2,まで,,格助,（表示到达点或动作、作用、状态的终结点、范围）到
第3課,ユニット3,研究発表会,けんきゅうはっぴょうかい⑦,名,研究发表会
第3課,ユニット3,発表,はっぴょう①,名・他Ⅲ,发表；宣读论文；发言；公布
第3課,ユニット3,交流,こうりゅう①,名・自Ⅲ,交流
第3課,ユニット3,開催,かいさい①,名・他Ⅲ,举办；召开
第3課,ユニット3,活動日,かつどうび③,名,活动日
第3課,ユニット3,金曜日,きんようび③,名,星期五
第3課,ユニット3,場所,ばしょ①,名,地点；场所；处所
第3課,ユニット3,留学生会館,りゅうがくせいかいかん⑦,名,留学生会馆
第3課,ユニット3,会館,かいかん①,名,会馆
第3課,ユニット3,-階,-かい,接尾,建筑物的楼层；-层
第3課,ユニット3,小会議室,しょうかいぎしつ⑤,名,小会议室
第3課,ユニット3,会議,かいぎ①,名・自Ⅲ,会议；开会
第3課,ユニット3,会長,かいちょう①,名,会长；董事长
第3課,ユニット3,専攻,せんこう①,名・他Ⅲ,专业；专攻
第3課,ユニット3,中国経済,ちゅうごくけいざい⑤,名,中国经济
第3課,ユニット3,卒業論文,そつぎょうろんぶん⑤,名,（本科生）毕业论文
